id;user_id;invitation_key;owns;accepted;invited;requested;barred;roles;requested_on
1;77676;Viaduct Bike;true;false;true;false;false;Money wireless;2023-04-03T16:34:47
2;98686;Tasty Infrastructure Pa'anga;true;false;false;false;true;Automated policy Riel;2023-04-03T23:28:03
3;71684;connecting;false;false;true;true;false;invoice synergies Plastic;2023-04-04T00:04:32
4;19827;lime Switzerland Yuan;true;true;false;true;true;Planner Licensed;2023-04-03T13:22:54
5;38310;Officer;true;false;true;true;true;cross-platform frictionless withdrawal;2023-04-03T20:48:17
6;91297;back-end;false;true;false;false;false;Incredible;2023-04-03T21:02:39
7;76018;Franc Wyoming Account;true;false;false;true;false;Dram Practical;2023-04-04T09:18:50
8;9960;National;true;true;true;true;false;teal;2023-04-04T03:29:13
9;48514;system;true;false;false;false;false;Port navigating;2023-04-04T04:12:02
10;82667;Handmade;false;false;false;false;false;Computer withdrawal Ergonomic;2023-04-03T23:13:47
